T_REC,HARPNUM,MEANPOT,SHRGT45,TOTPOT,USFLUX,MEANJZH,ABSNJZH,SAVNCPP,MEANALP,MEANSHR,TOTUSJZ,TOTUSJH,MEANGAM,MEANGBZ,MEANJZD,AREA_ACR,R_VALUE,MEANGBT,MEANGBH,NOAA_ARS,FlareClass
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_15:48:00_TAI,892,16038.75,38.907,1.234196e+24,4.725952e+22,-0.00571179,330.952,15526380000000,-0.00893699,42.058,49482400000000,3543.614,46.225,87.724,-0.21412453,1840.786133,4.51,65.33,40.03,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,X
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,X
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
